,respondent_id,as_of_year,agency_abbr,loan_type_name,loan_amount_000s,owner_occupancy_name,loan_purpose_name,property_type_name,preapproval_name,msamd_name,state_abbr,county_name,applicant_ethnicity_name,co_applicant_ethnicity_name,applicant_race_name_1,co_applicant_race_name_1,applicant_sex_name,co_applicant_sex_name,applicant_income_000s,purchaser_type_name,denial_reason_name_1,hoepa_status_name,lien_status_name,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,action_taken_name
161264,0000029941,2011,FDIC,Conventional,350,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Bergen County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,248.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,7163.0,15.449999809265135,67400.0,168.92999267578125,2427.0,2553.0,Application denied by financial institution
157197,0000817824,2011,CFPB,Conventional,25,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,Columbus - OH,OH,Pickaway County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,14.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Not secured by a lien,2987.0,2.4100000858306885,66600.0,92.44000244140624,837.0,1090.0,Application denied by financial institution
195403,0000451965,2011,CFPB,Conventional,111,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Fort Worth, Arlington - TX",TX,Tarrant County,Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,82.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,7340.0,10.93000030517578,68200.0,195.08999633789062,2299.0,2381.0,Application denied by financial institution
121540,0000143662,2011,CFPB,Conventional,298,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Redding - CA,CA,Shasta County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,67.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,8131.0,11.489999771118164,58200.0,148.89999389648438,2343.0,3069.0,Application denied by financial institution
43317,0000001660,2011,FDIC,Conventional,11,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,,SC,Orangeburg County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,55.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Not secured by a lien,5092.0,71.5,47700.0,81.44000244140625,1519.0,2097.0,Loan originated
170996,0000480228,2011,CFPB,Conventional,46,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Dallas County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,34.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,3860.0,39.47999954223633,69600.0,59.59000015258789,1021.0,1415.0,Application denied by financial institution
59394,0000229801,2011,CFPB,Conventional,115,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Bergen County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,80.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,3846.0,33.310001373291016,67400.0,172.7100067138672,887.0,1226.0,Loan originated
57067,0000451965,2011,CFPB,Conventional,354,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Salem - OR,OR,Marion County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,75.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,8527.0,20.5,59200.0,106.33999633789062,2391.0,3177.0,Loan originated
105847,0000005633,2011,FDIC,Conventional,81,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,AR,White County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,13.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,8017.0,6.6599998474121085,43300.0,116.95999908447266,2238.0,3126.0,Application denied by financial institution
142839,0000012311,2011,CFPB,FHA-insured,136,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Marion County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,36.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,3066.0,2.799999952316284,66000.0,119.9499969482422,1089.0,1258.0,Application denied by financial institution
164846,7197000003,2011,HUD,Conventional,81,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Kaufman County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,127.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,8479.0,16.649999618530273,69600.0,121.05999755859376,2429.0,2808.0,Application denied by financial institution
21378,0000024224,2011,OCC,Conventional,405,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Minneapolis, St. Paul, Bloomington - MN, WI",MN,Hennepin County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,180.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,8038.0,8.680000305175781,82700.0,179.4600067138672,2494.0,2540.0,Loan originated
129626,0000852218,2011,CFPB,Conventional,121,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,San Bernardino County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,39.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,6807.0,90.5500030517578,62500.0,53.20000076293945,745.0,1783.0,Application denied by financial institution
60823,0000703235,2011,OCC,Conventional,102,Owner-occupied as a principal dwelling,Refinancing,Manufactured housing,Not applicable,,WI,Taylor County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,120.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4566.0,1.8799999952316284,59100.0,107.52999877929688,1372.0,1769.0,Loan originated
132168,0001494240,2011,CFPB,Conventional,184,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Raleigh, Cary - NC",NC,Wake County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,74.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,4615.0,32.720001220703125,78800.0,104.77999877929688,1280.0,1631.0,Application denied by financial institution
194183,0002582023,2011,CFPB,Conventional,235,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Redding - CA,CA,Shasta County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,168.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,8131.0,11.489999771118164,58200.0,148.89999389648438,2343.0,3069.0,Application denied by financial institution
68514,0002582023,2011,CFPB,Conventional,110,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Portland, Vancouver, Hillsboro - OR, WA",OR,Multnomah County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,240.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4135.0,35.5,72000.0,90.26000213623048,923.0,1129.0,Loan originated
80364,0000068476,2011,NCUA,Conventional,130,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Fort Lauderdale, Pompano Beach, Deerfield Beach - FL",FL,Broward County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,63.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6270.0,39.709999084472656,61800.0,118.5,1529.0,1626.0,Loan originated
152697,54-0259290,2011,CFPB,Conventional,271,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Bergen County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,102.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,7567.0,32.919998168945305,67400.0,172.57000732421875,2087.0,2466.0,Application denied by financial institution
65477,26-0707492,2011,HUD,Conventional,285,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,60.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,8482.0,70.45999908447266,84200.0,96.02999877929688,1401.0,1939.0,Loan originated
77285,7992700007,2011,HUD,Conventional,500,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Santa Rosa, Petaluma - CA",CA,Sonoma County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,111.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,4605.0,49.790000915527344,81500.0,81.12999725341797,661.0,1286.0,Loan originated
24914,33-0633741,2011,HUD,Conventional,209,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,48.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,4940.0,29.53000068664551,84200.0,103.97000122070312,1547.0,1889.0,Loan originated
6453,0000723112,2011,CFPB,Conventional,39,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Rutherford County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,44.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,8317.0,9.760000228881836,49500.0,90.87000274658205,2665.0,3777.0,Loan originated
175162,20-1934942,2011,HUD,FHA-insured,21,Not owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Cherokee County,Not Hispanic or Latino,"Information not provided by applicant in mail, Internet, or telephone application",White,"Information not provided by applicant in mail, Internet, or telephone application",Male,Female,40.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Not secured by a lien,3387.0,3.1600000858306885,68300.0,103.20999908447266,1049.0,1319.0,Application denied by financial institution
73530,0000004365,2011,NCUA,Conventional,20,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,Rapid City - SD,SD,Pennington County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,79.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a subordinate lien,7107.0,5.039999961853027,57300.0,159.10000610351562,2287.0,2876.0,Loan originated
131412,0000852218,2011,CFPB,Conventional,86,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Lake Havasu City, Kingman - AZ",AZ,Mohave County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,35.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,7011.0,18.09000015258789,50500.0,104.4499969482422,1905.0,3213.0,Application denied by financial institution
2277,0000852320,2011,CFPB,Conventional,55,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Not applicable,Lynchburg - VA,VA,Appomattox County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,45.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,5805.0,21.770000457763672,59300.0,96.27999877929688,1751.0,2386.0,Loan originated
3296,36-4327855,2011,HUD,Conventional,68,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Gary - IN,IN,Lake County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,17.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,3877.0,8.510000228881836,65200.0,105.6999969482422,1258.0,1504.0,Loan originated
173250,0000480228,2011,CFPB,Conventional,679,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Collin County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,485.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,6372.0,19.399999618530273,69600.0,286.2799987792969,1497.0,1701.0,Application denied by financial institution
177,0000008145,2011,OCC,Conventional,172,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,KS,Montgomery County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,115.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,4190.0,14.029999732971193,53700.0,98.43000030517578,1144.0,1724.0,Loan originated
144882,0002582023,2011,CFPB,Conventional,231,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Barbara, Santa Maria, Goleta - CA",CA,Santa Barbara County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,40.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,6422.0,19.459999084472656,72300.0,141.24000549316406,1776.0,2573.0,Application denied by financial institution
181162,0000617677,2011,CFPB,Conventional,10,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,Riverside County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,300.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Not secured by a lien,3250.0,33.56999969482422,62500.0,72.56999969482422,926.0,1576.0,Application denied by financial institution
68625,0002777650,2011,CFPB,Conventional,298,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Myrtle Beach, North Myrtle Beach, Conway - SC",SC,Horry County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,126.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,7371.0,10.529999732971193,54300.0,108.36000061035156,2824.0,3726.0,Loan originated
7231,0000451965,2011,CFPB,Conventional,250,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Anchorage - AK,AK,Anchorage Municipality,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,919.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,4875.0,12.979999542236328,84000.0,170.49000549316406,1413.0,1546.0,Loan originated
12600,0000852218,2011,CFPB,Conventional,93,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,El Paso - TX,TX,El Paso County,Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,88.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,4614.0,72.83999633789062,41100.0,155.1699981689453,1031.0,1379.0,Loan originated
110734,30-0583815,2011,HUD,FHA-insured,247,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Gwinnett County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Male,No co-applicant,63.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,10391.0,35.939998626708984,68300.0,113.83000183105469,3025.0,3406.0,Application denied by financial institution
14299,0002582023,2011,CFPB,Conventional,80,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Salem - OR,OR,Marion County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,63.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,7086.0,33.259998321533196,59200.0,78.05999755859375,1397.0,1999.0,Loan originated
149173,0000451965,2011,CFPB,VA-guaranteed,217,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Montgomery County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,132.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,4863.0,48.27999877929688,49500.0,91.22000122070312,1505.0,3865.0,Application denied by financial institution
95844,0000451965,2011,CFPB,Conventional,201,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cambridge, Newton, Framingham - MA",MA,Middlesex County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,126.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,6021.0,31.06999969482422,105000.0,80.13999938964844,1153.0,1985.0,Loan originated
24401,27-2371197,2011,CFPB,Conventional,417,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Chicago, Joliet, Naperville - IL",IL,Will County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,306.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,34055.0,16.959999084472653,76200.0,174.7100067138672,9880.0,10724.0,Loan originated
136951,0000062504,2011,NCUA,Conventional,85,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Charlottesville - VA,VA,Fluvanna County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,31.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4294.0,19.209999084472656,76700.0,84.44999694824219,1324.0,1751.0,Application denied by financial institution
36229,0000032296,2011,FDIC,Conventional,186,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Columbus - OH,OH,Delaware County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,93.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,2466.0,7.9099998474121085,66600.0,164.8300018310547,779.0,845.0,Loan originated
92136,0000034377,2011,FDIC,FHA-insured,105,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Oklahoma City - OK,OK,Oklahoma County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,26.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,6666.0,25.90999984741211,60600.0,112.58000183105469,1706.0,2045.0,Loan originated
36812,1283100000,2011,HUD,Conventional,417,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Raleigh, Cary - NC",NC,Wake County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,215.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,17410.0,17.540000915527347,78800.0,130.55000305175778,5069.0,6130.0,Loan originated
33678,0000061256,2011,NCUA,Conventional,28,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Hartford County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,82.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a subordinate lien,2525.0,32.990001678466804,86500.0,83.66999816894531,385.0,709.0,Loan originated
40005,0000024891,2011,OCC,Conventional,252,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Richmond - VA,VA,Henrico County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,40.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,8140.0,10.140000343322754,74600.0,196.25,2321.0,2478.0,Loan originated
71129,0000018204,2011,FDIC,Conventional,417,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Hartford County,Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,433.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,3540.0,10.3100004196167,86500.0,145.99000549316406,1133.0,1272.0,Loan originated
164991,0000723112,2011,CFPB,Conventional,133,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Monroe - MI,MI,Monroe County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,69.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,2743.0,2.880000114440918,63000.0,118.2699966430664,871.0,955.0,Application denied by financial institution
2410,0000024605,2011,OCC,FHA-insured,88,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Springfield - MO,MO,Greene County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,35.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,2584.0,2.359999895095825,54700.0,120.30999755859376,865.0,1065.0,Loan originated
178273,0002582023,2011,CFPB,Conventional,45,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Phoenix, Mesa, Glendale - AZ",AZ,Maricopa County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,26.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,6407.0,59.52999877929688,65500.0,59.91999816894531,958.0,1696.0,Application denied by financial institution
21065,0002582023,2011,CFPB,Conventional,90,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,41.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,7617.0,42.459999084472656,84200.0,137.16999816894528,1876.0,2285.0,Loan originated
92502,0000717924,2011,CFPB,Conventional,25,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Northampton County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,26.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4835.0,63.45000076293945,49500.0,83.4000015258789,1369.0,2144.0,Loan originated
15344,0000000047,2011,OCC,FSA/RHS-guaranteed,165,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was requested,Terre Haute - IN,IN,Vigo County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,52.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4892.0,3.6800000667572017,53100.0,133.8699951171875,1548.0,1962.0,Loan originated
153767,0003303298,2011,CFPB,Conventional,4,Not owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Cuyahoga County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Male,No co-applicant,64.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Not secured by a lien,4247.0,7.579999923706055,62800.0,97.63999938964844,1149.0,1280.0,Application denied by financial institution
143969,0000009160,2011,NCUA,Conventional,10,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,,WY,Uinta County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,22.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,6731.0,9.81999969482422,67400.0,97.52999877929688,1754.0,2463.0,Application denied by financial institution
70525,0000480228,2011,CFPB,Conventional,154,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Howard County,Not Hispanic or Latino,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Native Hawaiian or Other Pacific Islander,Male,Female,74.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5265.0,26.290000915527344,84500.0,137.05999755859378,1496.0,1806.0,Loan originated
2327,0000704192,2011,OCC,Conventional,92,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Monroe - MI,MI,Monroe County,Not Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,80.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,3024.0,16.069999694824222,63000.0,102.79000091552734,919.0,1056.0,Loan originated
30519,0000451965,2011,CFPB,Conventional,2000,Not owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Cruz, Watsonville - CA",CA,Santa Cruz County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,1622.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6536.0,16.860000610351562,85800.0,124.1500015258789,1986.0,3238.0,Loan originated
630,1801100004,2011,HUD,Conventional,243,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"St. Louis - MO, IL",IL,St. Clair County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,106.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,1742.0,8.439999580383299,69500.0,84.20999908447266,589.0,710.0,Loan originated
22827,1522600000,2011,HUD,Conventional,209,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Cobb County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,162.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,6968.0,14.18000030517578,68300.0,123.31999969482422,2128.0,2295.0,Loan originated
137512,54-0259290,2011,CFPB,Conventional,76,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Cobb County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,50.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,5984.0,27.170000076293945,68300.0,123.0500030517578,1850.0,2150.0,Application denied by financial institution
33962,0000852320,2011,CFPB,Conventional,165,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Beaufort County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,83.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,3104.0,33.40999984741211,49500.0,107.0,1130.0,2002.0,Loan originated
